osm_id,name,golf_tree,golf_shrub,golf_grass,golf_crop,golf_built,golf_bare,golf_water,golf_wetland,golf_mangrove,ring_tree,ring_shrub,ring_grass,ring_crop,ring_built,ring_bare,ring_water,ring_wetland,ring_mangrove
1571908,Southlinks Golf Club,0.5037,0,0.4479,0.0371,0.0098,0,0.0016,0,0,0.2898,0,0.0762,0.028,0.606,0.0001,0,0,0
152586409,Mercedes Plantation golf and Country Club,0.4131,0,0.5739,0,0.002,0,0.006,0.0003,0.0048,0.2284,0,0.1995,0.1306,0.0181,0,0.3809,0,0.0425
138947548,Summit Point Golf & Residential Estates,0.0378,0,0.9104,0.0085,0.0329,0.0045,0.0059,0,0,0.3974,0,0.46,0.0847,0.0476,0.0103,0,0,0
1259077065,New Asia Golf & Spa Resort,0.0795,0,0.8461,0.0176,0.0096,0.0021,0.0451,0,0,0.2862,0,0.3005,0.3416,0.0018,0.0574,0.0124,0,0
1921827,Pueblo de Oro Golf and Country Club,0.3877,0,0.5816,0,0.022,0.0069,0.0017,0,0,0.5318,0,0.1434,0.009,0.2979,0.0179,0,0,0
312033052,Calatagan Golf Club,0.6167,0,0.3713,0.0026,0.0063,0,0.0032,0,0,0.7103,0,0.1962,0.0887,0.0034,0.0006,0.0007,0,0
220338864,Mayon Golf Course,0.314,0,0.6842,0.0002,0,0.0017,0,0,0,0.7333,0,0.1705,0.0069,0,0.0891,0.0002,0,0
153513050,Evercrest Golf Club and Resort,0.4627,0,0.5159,0.0003,0.021,0,0,0,0,0.7372,0,0.1488,0.0376,0.0764,0,0,0,0
173399846,Air Force City Golf Course,0.1213,0,0.6874,0.115,0.0763,0,0,0,0,0.3232,0,0.1341,0.0372,0.503,0.0025,0,0,0
99512563,Royal Northwoods,0.1276,0,0.8453,0.0003,0.0167,0,0.0078,0.0022,0,0.34,0,0.3627,0.2846,0.0128,0,0,0,0
511373987,Victorias Golf and Country Club,0.5433,0,0.4456,0.0068,0.0043,0,0,0,0,0.5043,0,0.1294,0.3316,0.0347,0,0,0,0
286864651,Hallow Ridge Filipinas Golf,0.4845,0,0.4946,0.0132,0.0076,0,0,0,0,0.6287,0,0.0333,0.0518,0.282,0.0042,0,0,0
13509276,Ayala Greenfield Golf and Leisure Club,0.2542,0,0.7143,0.0055,0.0169,0,0.0092,0,0,0.7293,0,0.1832,0.0536,0.0336,0.0002,0,0,0
1120578954,South Pacific Davao Golf Club,0.0608,0,0.9144,0.0012,0.0227,0.0005,0.0003,0,0,0.6941,0,0.0607,0.0054,0.2376,0.0022,0,0,0
30478360,Apo Golf and Country Club,0.6443,0,0.3499,0.001,0.0042,0.0005,0,0,0,0.4623,0,0.1764,0.0055,0.3523,0.0035,0,0,0
17250995,Lakewood Golf Course,0.1375,0,0.8264,0.0017,0.0001,0.0031,0.0313,0,0,0.1362,0,0.2413,0.4996,0.1229,0,0,0,0
4913973,Alabang Country Club,0.2466,0,0.7472,0.0022,0.0037,0,0.0002,0,0,0.4088,0,0.0535,0.0089,0.5285,0.0002,0,0,0
1262766897,South Forbes Golf Club,0.7067,0,0.2768,0,0.0165,0,0,0,0,0.8508,0,0.0369,0.0082,0.1041,0,0,0,0
128616401,Villamor Air Base Golf Course,0.6669,0,0.2941,0.0013,0.0377,0,0,0,0,0.1125,0,0.0005,0.0012,0.8839,0.0019,0,0,0
153513039,Splendido Golf Course,0.1475,0,0.8322,0.0022,0.0171,0,0.0009,0,0,0.8819,0,0.0683,0.0014,0.0485,0,0,0,0
269467713,Royal Garden Golf,0.2301,0,0.3764,0.3927,0.0008,0,0,0,0,0.14,0,0.2984,0.3362,0.2109,0.0145,0,0,0
9630843,Fairways and Bluewater Resort Golf and Country Club,0.1713,0,0.8183,0.0009,0.0004,0,0.009,0,0,0.686,0,0.0816,0.0003,0.1873,0.0095,0.0352,0.0001,0
67137399,Cebu Country Club,0.342,0,0.658,0,0,0,0,0,0,0.1887,0,0.0015,0,0.8047,0.005,0,0,0
244117954,Mactan Island Golf Club,0.485,0,0.4986,0,0.0146,0.0002,0.0015,0,0,0.2957,0,0.2115,0,0.4878,0.0023,0.0028,0,0
83415116,Leyte Golf and Country Club,0.2131,0,0.7848,0,0.0022,0,0,0,0,0.5985,0,0.3475,0.0391,0.0085,0.0064,0,0,0
167420206,Iloilo Golf and Country Club,0.4515,0,0.5327,0.0119,0.0039,0,0,0,0,0.6068,0,0.1835,0.1212,0.0846,0.0025,0.0001,0.0014,0
1415089965,,0.3089,0,0.6234,0,0.0082,0.0595,0,0,0,0.9788,0,0.004,0,0.0164,0.0007,0,0,0
8326757,Manila Golf and Country Club,0.523,0,0.4609,0,0.0113,0,0.0048,0,0,0.3227,0,0.0347,0.009,0.6266,0.0058,0.0012,0,0
246446745,,0.0466,0,0.8983,0.021,0.0004,0,0.0239,0.0025,0.0073,0.5543,0,0.0905,0.0018,0.0715,0.0002,0.1976,0,0.084
15273788,Zamora Championship Course,0.357,0,0.6363,0.0041,0.0006,0,0.002,0,0,0.828,0,0.0007,0.0005,0.0039,0.0006,0.1663,0,0
245376615,San Juanico Golf And Country Club,0.1204,0,0.8769,0,0.0027,0,0,0,0,0.6843,0,0.2056,0.0003,0.0952,0.0145,0,0,0
53625579,Negros Occidental Golf and Country Club,0.3219,0,0.6639,0.0003,0.0122,0,0.0017,0,0,0.3807,0,0.0987,0.1439,0.3745,0.0022,0,0,0
515497211,"Bacolod Golf & Country Club, INC.",0.5011,0,0.4965,0,0.0025,0,0,0,0,0.6317,0,0.0524,0.3033,0.0126,0,0,0,0
942438304,Fernando Air Base Golf Club,0.166,0,0.8339,0.0001,0,0,0,0,0,0.4047,0,0.313,0.03,0.2517,0.0006,0,0,0
1520602515,Tagaytay Highlands International Golf Club,0.1791,0,0.82,0.0009,0,0,0,0,0,0.8871,0,0.0066,0.0008,0.1052,0.0002,0.0001,0,0
150436422,Club Filipino Golf Course,0.5025,0,0.4869,0.0005,0.0101,0,0,0,0,0.8247,0,0.1365,0.0033,0.0331,0.0025,0,0,0
1347745645,Tandatangan Golf Course,0.0218,0,0.841,0.0921,0,0.0386,0.0065,0,0,0.5995,0,0.1347,0.1076,0,0.1582,0,0,0
