osm_id,name,ring_grass_frac,golf_grass_base,golf_grass_elnino,golf_grass_latest,ring_grass_base,ring_grass_elnino,ring_grass_latest,matched_gap_base,matched_gap_elnino,matched_gap_latest,matched_signal,matched_signal_2026
32759572,,0.1335,0.637,0.6503,0.5981,0.5399,0.5624,0.569,0.0972,0.0879,0.0291,-0.0093,-0.0681
17908468,,0.0054,0.471,0.3253,0.599,0.2663,0.244,0.2649,0.2048,0.0812,0.3341,-0.1235,0.1293
175010424,Hampas Lupa Golf Driving Range,0.048,0.6458,0.5641,0.6642,0.5362,0.4753,0.5467,0.1096,0.0888,0.1175,-0.0208,0.0079
703800716,,0.0438,0.5669,0.5606,0.5583,0.3754,0.2742,0.3356,0.1915,0.2863,0.2226,0.0948,0.0311
184362383,Camp Aguinaldo Golf Course,0.0072,0.5718,0.6064,0.6304,0.3904,0.2837,0.3183,0.1814,0.3227,0.3121,0.1413,0.1308
160903445,LLCI,0.0549,0.5769,0.5145,0.5976,0.5512,0.4629,0.6189,0.0257,0.0516,-0.0212,0.0259,-0.047
1105103473,Davao Eaglemasters Golf Driving Range,0.0977,0.5824,0.5297,0.4784,0.5213,0.4884,0.5151,0.0611,0.0413,-0.0367,-0.0198,-0.0978
184362384,Camp Aguinaldo Golf Course,0.0073,0.637,0.6687,0.6264,0.4033,0.3021,0.3325,0.2337,0.3666,0.2939,0.1329,0.0602
16751280,Laguna Bel Air Mini Golf Course,0.1001,,,,0.4933,0.4387,0.3313,,,,,
703800717,,0.0505,0.638,0.6679,0.5719,0.378,0.2642,0.3284,0.26,0.4037,0.2435,0.1437,-0.0165
35213090,Las Piñas Driving Range,0.0084,0.3763,0.273,0.3896,0.4881,0.3695,0.4225,-0.1118,-0.0964,-0.0329,0.0154,0.0789
7588874,Driving range,0.24,0.4263,0.2636,0.3997,0.5289,0.4145,0.455,-0.1026,-0.1509,-0.0553,-0.0483,0.0473
1209424422,,0.0087,,,,0.6214,0.6672,0.6453,,,,,
66703198,EG Golf & Driving Range,0.0548,0.3059,0.2743,0.2235,0.4126,0.3731,0.3438,-0.1067,-0.0988,-0.1202,0.0079,-0.0136
142839733,Iloilo Golf Driving Range,0.2344,0.5534,0.4095,0.6059,0.5148,0.4226,0.5177,0.0386,-0.0131,0.0882,-0.0517,0.0496
60121152,City Golf,0.0045,0.2995,0.1918,0.2136,0.3181,0.2523,0.2592,-0.0186,-0.0605,-0.0456,-0.0419,-0.027
1468599051,,0.0758,0.3798,0.2629,0.4258,0.434,0.3396,0.5263,-0.0542,-0.0767,-0.1005,-0.0225,-0.0463
150835617,"Driving Range, fenced",0.0756,0.427,0.3771,0.3996,0.3725,0.3743,0.2615,0.0545,0.0028,0.1381,-0.0517,0.0836
702047132,,0.0599,0.614,0.6012,0.5552,0.375,0.2562,0.3167,0.2389,0.345,0.2385,0.1061,-0.0004
1468599052,,0.0773,0.3705,0.309,0.478,0.4421,0.3548,0.5453,-0.0716,-0.0458,-0.0673,0.0258,0.0043
1241013713,,0.0877,0.3804,0.2177,0.4198,0.5697,0.4442,0.6083,-0.1893,-0.2265,-0.1885,-0.0372,0.0008
1455691384,,0.0722,0.559,0.6099,0.6649,0.617,0.6194,0.6171,-0.058,-0.0095,0.0478,0.0486,0.1058
1116950585,Pitch & Putt,0.1553,,,,0.5577,0.4636,0.6306,,,,,
32775560,,0.0095,,,,0.3754,0.2951,0.3135,,,,,
1468599053,,0.0561,0.4587,0.2145,0.4932,0.3837,0.3266,0.4518,0.075,-0.1122,0.0414,-0.1871,-0.0336
1468599054,,0.0631,,,,0.3851,0.2791,0.4489,,,,,
